programid	title	genre	channel	broadcasttime	period	country	director
57897	성공예감	시사교양	KBS2	월 ~ 금 17시 30분		한국	
57898	TV 특강	시사교양	KBS1	목 11시 00분		한국	
57899	프랙탈	애니메이션					
57900	길의 뷰티 프로젝트 미인도	시사교양					
57901	황금나침반	시사교양					
57902	드래곤 크라이시스	애니메이션					
57903	남자를 믿었네	국내드라마	MBC	월 ~ 금 20시 15분		한국	
57904	49일	국내드라마	SBS	수, 목 21시 55분		한국	
57905	쇼와 이야기	애니메이션					
57906	사자에상 시즌 3	해외드라마					
57907	우정의 무대	시사교양	MBC				
57908	하버드 특강 정의	기타	EBS	월, 화, 수 23시 10분		미국	
57909	댄스 아카데미	해외드라마					
57910	못말리는 변접관	연예/오락	KBS2	일 21시 05분		한국	
57911	문화콘서트 난장	연예/오락	광주 MBC	토 23시 00분		한국	
57912	디지털 미술관	시사교양	KBS1	목 23시 35분		한국	
57913	엄마와 2박 3일	시사교양	KBS2	토 11시 35분		총 19부작	
57914	한국 현대사 증언 TV자서전	시사교양	KBS1	일 07시 10분		한국	
57915	오박사네 사람들	연예/오락	SBS			한국	
57916	자매들	국내드라마	MBC			한국	
57917	뉴욕 스토리	연예/오락	SBS	토 19시 00분			
57918	하트 비트 메가폰	연예/오락					
57919	패리스 힐튼’s Next BeF 두바이	연예/오락					
57920	절대동안 프로젝트	연예/오락					
57921	IS 인피니트 스트라토스	애니메이션					
57922	포미닛의 Mr. 티처	연예/오락					
57923	트렌드 리포트 필 시즌6	시사교양					
57924	트렌드 리포트 필 시즌5	시사교양					
57925	트렌드 리포트 필 시즌4	시사교양					
57926	트렌드 리포트 필 시즌3	시사교양					
57927	트렌드 리포트 필 시즌1	시사교양					
57928	금요기획	시사교양	KBS2	금 23시 10분		한국	
57929	세 번의 만남	시사교양	KBS2	토 23시 10분		한국	
57930	마법소녀 마도카☆마기카	애니메이션					
57931	탐라계곡에서의 한 철	시사교양	EBS			한국	
57932	한국인의 밥상	시사교양	KBS1	목 19시 30분		한국	
